,PowerCapacity,Type,Unit,Zone,Technology,Fuel,JRC_id,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,DH
28,224,Fossil Gas,ASP003,NL,COMC,GAS,0,0.525,5,1,0.049866071,0.049866071,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
29,220,Fossil Gas,RoCa,NL,COMC,GAS,0,0.525,5,1,0.050772727,0.050772727,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
30,209,Fossil Gas,Swentibold,NL,COMC,GAS,0,0.525,5,1,0.053444976,0.053444976,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
31,131,Fossil Gas,GDFSUEZ_NL_EC-22,NL,COMC,GAS,0,0.525,5,1,0.085267176,0.085267176,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
32,130,Fossil Gas,Pergen 2,NL,COMC,GAS,0,0.525,5,1,0.085923077,0.085923077,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
33,130,Fossil Gas,Pergen 1,NL,COMC,GAS,0,0.525,5,1,0.085923077,0.085923077,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
34,122,Wind Onshore,Prinses Alexia Windpark,NL,WTON,WIN,0,1,0,0,1.106557377,1.106557377,0,0,0,0,1,0,0,,,,,,,,,
35,120,Wind Onshore,Westereems,NL,WTON,WIN,0,1,0,0,1.125,1.125,0,0,0,0,1,0,0,,,,,,,,,
36,112,Internal Combustion Engine,Den Haag,NL,COMC,GAS,0,0.525,5,1,0.099732143,0.099732143,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
37,108,Wind Offshore,Windpark Egmond aan Zee,NL,WTOF,WIN,0,1,0,0,1.296296296,1.296296296,0,0,0,0,1,0,0,,,,,,,,,
38,103,Internal Combustion Engine,Merwedekanaal 11,NL,COMC,GAS,0,0.525,5,1,0.108446602,0.108446602,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
39,1429,Photovoltaic,DispaSET PHOT_NL,NL,PHOT,SUN,0,1,0,0,0.629811057,0.629811057,0,0,0,0,1,0,0,,,,,,,,,
40,249,Wind Offshore,DispaSET WindOff_NL,NL,WTOF,WIN,0,1,0,0,0.562248996,0.562248996,0,0,0,0,1,0,0,,,,,,,,,
41,3042,Wind Onshore,DispaSET WindOn_NL,NL,WTON,WIN,0,1,0,0,0.044378698,0.044378698,0,0,0,0,1,0,0,,,,,,,,,
42,398,Fossil Gas,DispaSET Biomass_NL,NL,STUR,BIO,0,0.45,8,6,0.012562814,0.012562814,2000,0,0,0.2,0.45,7,0,,,,,,,,,
43,8500,Fossil Gas,DispaSET FossilGas_NL 1,NL,COMC,GAS,0,0.525,5,1,0.001314118,0.001314118,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
44,2000,Fossil Gas,DispaSET FossilGas_NL 2,NL,COMC,GAS,0,0.525,5,1,0.005585,0.005585,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
45,2000,Fossil Gas,DispaSET FossilGas_NL 3,NL,COMC,GAS,0,0.525,5,1,0.005585,0.005585,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
46,2000,Fossil Gas,DispaSET FossilGas_NL 4,NL,COMC,GAS,0,0.525,5,1,0.005585,0.005585,112542.12,0,0,0.4,0.525,1,0.45,,,,,,,,,
47,1500,Fossil Gas,Vasilikos CCCP1,NL,COMC,BIO,0,0.4868,6,0,0.027272727,0.027272727,17500,0,0,0.272727273,0.4793,0,0,extraction,1,0.18,,800,0.03,,,Amsterdam
48,1500,Fossil Gas,Vasilikos CCCP2,NL,COMC,BIO,0,0.4868,6,0,0.027272727,0.027272727,17500,0,0,0.272727273,0.4793,0,0,extraction,1,0.18,,800,0.03,,,Utrecht
